2026-03-14 16:11:42	444447	26.206	weak=1
2026-03-14 16:18:43	444446	19.794	weak=1
2026-03-14 23:45:37	444446	19.564	weak=1
2026-03-15 00:26:01	444447	25.994	weak=1
2026-03-15 01:35:04	444443	11.272	weak=0
2026-03-15 02:16:55	444441	41.040	weak=0
2026-03-15 02:48:47	444446	20.961	weak=0
2026-03-15 03:04:26	444441	40.945	weak=0
2026-03-15 03:32:12	444447	33.160	weak=0
2026-03-15 04:11:14	444443	12.087	weak=0
2026-03-15 04:25:25	444447	33.441	weak=0
2026-03-15 04:26:14	444443	11.200	weak=0
2026-03-15 04:47:46	444441	40.535	weak=0
2026-03-15 05:08:55	444442	22.211	weak=0
2026-03-15 05:15:51	6555567	16.519	weak=0
2026-03-15 11:17:56	444443	12.082	weak=0
2026-03-15 11:23:30	444447	36.382	weak=0
2026-03-15 11:26:59	2333326	14.539	weak=0
2026-03-15 11:50:00	444446	23.035	weak=0
